id,title,release_date,genre_ids,vote_average,vote_count,budget,revenue,directors,production_companies
329996,Dumbo,2019-03-27,"[10751, 14, 12]",6.604,4349,170000000,353284621,Tim Burton,"Tim Burton Productions, Walt Disney Pictures, Infinite Detective, Secret Machine Entertainment, British Film Commission, South Australian Film Corporation"
400650,Mary Poppins Returns,2018-12-13,"[14, 10751, 35]",6.512,3337,130000000,348807090,Rob Marshall,"Walt Disney Pictures, Marc Platt Productions, Lucamar Productions"
404368,Ralph Breaks the Internet,2018-11-20,"[10751, 16, 35, 12]",7.17,7668,175000000,529323962,"Phil Johnston, Rich Moore","Walt Disney Pictures, Walt Disney Animation Studios"
426543,The Nutcracker and the Four Realms,2018-10-26,"[14, 12, 10751]",6.081,2161,120000000,173961069,"Lasse Hallström, Joe Johnston","Walt Disney Pictures, The Mark Gordon Company"
546728,Auntie Edna,2018-10-23,"[16, 35, 10751, 878]",7.2,245,0,0,Ted Mathot,"Walt Disney Pictures, Pixar"
420814,Christopher Robin,2018-08-01,"[12, 35, 10751, 14]",7.298,2753,75000000,99138899,Marc Forster,"Walt Disney Pictures, 2DUX²"
514754,Bao,2018-06-15,"[16, 10751, 14]",7.567,1220,0,0,Domee Shi,"Pixar, Walt Disney Pictures"
260513,Incredibles 2,2018-06-14,"[28, 12, 16, 10751]",7.5,13005,200000000,1242805359,Brad Bird,"Walt Disney Pictures, Pixar"
407451,A Wrinkle in Time,2018-03-08,"[12, 878, 10751, 14]",5.1,1801,103000000,132675864,Ava DuVernay,"Whitaker Entertainment, Walt Disney Pictures"
698135,Alice Comedies Vol. 2,2018-01-17,"[16, 35]",0.0,0,0,0,,"Walt Disney Pictures, Walt Disney Productions"
460793,Olaf's Frozen Adventure,2017-10-27,"[16, 10751, 12, 35, 14]",6.5,1442,0,0,"Stevie Wermers-Skelton, Kevin Deters",Walt Disney Pictures
354912,Coco,2017-10-27,"[10751, 16, 10402, 12]",8.2,19834,175000000,807816196,Lee Unkrich,"Pixar, Walt Disney Pictures"
471968,The Last Warrior,2017-10-19,"[14, 10751, 12, 28, 35]",6.9,179,8250000,30060061,Dmitriy Dyachenko,"The Walt Disney Company CIS, Walt Disney Pictures"
166426,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,"[12, 28, 14]",6.653,12153,230000000,795922298,"Espen Sandberg, Joachim Rønning","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil"
321612,Beauty and the Beast,2017-03-16,"[10751, 14, 10749]",6.97,15569,160000000,1266115964,Bill Condon,"Walt Disney Pictures, Mandeville Films"
496834,Voice of the Islands,2017-03-07,[99],1.0,1,0,0,,Walt Disney Pictures
406785,Inner Workings,2016-11-23,"[16, 10751, 35]",7.8,291,0,0,Leo Matsuda,"Walt Disney Animation Studios, Walt Disney Pictures"
277834,Moana,2016-10-13,"[12, 35, 10751, 16]",7.6,12964,150000000,690860472,"John Musker, Ron Clements","Walt Disney Pictures, Walt Disney Animation Studios"
399106,Piper,2016-06-16,"[10751, 16]",8.146,1652,0,0,Alan Barillaro,"Pixar, Walt Disney Pictures"
127380,Finding Dory,2016-06-16,"[12, 16, 35, 10751]",7.0,12169,200000000,1028600000,Andrew Stanton,"Pixar, Walt Disney Pictures"
267935,The BFG,2016-06-01,"[12, 10751, 14]",6.278,3410,140000000,195243411,Steven Spielberg,"Walt Disney Pictures, Amblin Entertainment, Reliance Entertainment, Walden Media, The Kennedy/Marshall Company, The Roald Dahl Story Company"
241259,Alice Through the Looking Glass,2016-05-25,"[12, 10751, 14]",6.558,6487,170000000,299457024,James Bobin,"Legend3D, Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions"
278927,The Jungle Book,2016-04-07,"[10751, 12, 18, 14]",6.864,8128,175000000,966550600,Jon Favreau,"Walt Disney Pictures, Fairview Entertainment, Moving Picture Company"
269149,Zootopia,2016-02-11,"[16, 12, 10751, 35]",7.747,16586,150000000,1023784195,"Byron Howard, Rich Moore","Walt Disney Animation Studios, Walt Disney Pictures"
300673,The Finest Hours,2016-01-27,"[28, 18, 36, 53]",6.6,1623,80000000,52099090,Craig Gillespie,"Red Hawk Entertainment, Walt Disney Pictures, Whitaker Entertainment, Bergsten Music"
